"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-01","0.09",",,W,2400","0.0","T,,W,","0.0",",,W,","53","H,,S","61",",,W","43",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-02","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","42","H,,S","43",",,W","37",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-03","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","42","H,,S","46",",,W","34",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-04","0.04",",,W,2400","0.0",",,W,","0.0",",,W,","38","H,,S","45",",,W","31",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-05","0.53",",,W,2400","0.0",",,W,","0.0",",,W,","44","H,,S","47",",,W","40",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-06","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","45","H,,S","52",",,W","35",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-07","0.02",",,W,2400","0.0","T,,W,","0.0",",,W,","33","H,,S","35",",,W","28",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-08","0.24",",,W,2400","0.0","T,,W,","0.0",",,W,","37","H,,S","46",",,W","33",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-09","0.01",",,W,2400","0.0","T,,W,","0.0",",,W,","44","H,,S","47",",,W","34",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-10","0.00","T,,W,2400","0.0","T,,W,","0.0",",,W,","35","H,,S","39",",,W","30",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-11","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","30","H,,S","34",",,W","26",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-12","0.05",",,W,2400","0.3",",,W,","0.0",",,W,","28","H,,S","35",",,W","22",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-13","0.07",",,W,2400","1.1",",,W,","1.2",",,W,","29","H,,S","30",",,W","27",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-14","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","28","H,,S","35",",,W","21",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-15","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","30","H,,S","38",",,W","23",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-16","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","32","H,,S","39",",,W","25",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-17","0.01",",,W,2400","0.1",",,W,","0.0",",,W,","33","H,,S","35",",,W","26",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-18","0.05",",,W,2400","0.9",",,W,","1.2",",,W,","32","H,,S","38",",,W","29",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-19","0.61",",,W,2400","0.0",",,W,","0.0",",,W,","35","H,,S","39",",,W","32",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-20","0.75",",,W,2400","0.0",",,W,","0.0",",,W,","38","H,,S","50",",,W","17",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-21","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","16","H,,S","19",",,W","10",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-22","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","20","H,,S","32",",,W","13",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-23","0.01",",,W,2400","0.0",",,W,","0.0",",,W,","34","H,,S","53",",,W","28",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-24","1.27",",,W,2400","0.0",",,W,","0.0",",,W,","53","H,,S","60",",,W","34",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-25","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","36","H,,S","40",",,W","26",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-26","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","29","H,,S","37",",,W","22",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-27","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","36","H,,S","48",",,W","26",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-28","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","33","H,,S","37",",,W","24",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-29","0.16",",,W,2400","0.0","T,,W,","0.0",",,W,","32","H,,S","43",",,W","23",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-30","0.01",",,W,2400","0.2",",,W,","0.0",",,W,","27","H,,S","35",",,W","7",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-01-31","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","11","H,,S","18",",,W","5",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-02-01","0.06",",,W,2400","0.9",",,W,","0.0",",,W,","15","H,,S","18",",,W","12",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-02-02","0.00",",,W,2400","0.0",",,W,","1.2",",,W,","19","H,,S","31",",,W","11",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-02-03","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","33","H,,S","51",",,W","22",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-02-04","0.00",",,W,2400","0.0",",,W,","0.0",",,W,","40","H,,S","60",",,W","27",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-02-05","0.00","T,,W,2400","0.0",",,W,","0.0",",,W,","47","H,,S","67",",,W","32",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-02-06","0.30",",,W,2400","0.0",",,W,","0.0",",,W,","47","H,,S","54",",,W","35",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-02-07","0.06",",,W,2400","0.0",",,W,","0.0",",,W,","44","H,,S","48",",,W","41",",,W"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2019-02-08","0.04",",,W,2400","0.0",",,W,","0.0",",,W,","44","H,,S","55",",,W","33",",,W"
