"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT05","WT06"
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-01",,,"0.00","0.0","16.0","9","-23","-6",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-02",,,"0.00","0.0","13.0","12","-17","-11",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-03",,,"0.00","0.0","11.0","24","-11","5",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-04",,,"0.00","0.0","11.0","32","4","14",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-05",,,"0.00","0.0","11.0","44","6","18",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-06",,,"0.00","0.0","11.0","45","18","28",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-07",,,"0.09","1.0","12.0","33","7","20",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-08",,,"0.57","3.5","15.0","24","14","19",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-09",,,"0.00","0.0","11.0","33","11","22",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-10",,,"0.00","0.0","10.0","47","10","15",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-12",,,"0.13","1.8","13.0","25","6","14",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-13",,,"0.00","0.0","11.0","29","-9","-1",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-14",,,"0.00","0.0","11.0","25","-6","4",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-16",,,"0.00","0.0","11.0","37","13","28",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-17",,,"0.00","0.0","12.0","32","15","21",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-18",,,"0.59","5.2","17.0","36","21","22",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-19",,,"0.42","5.0","19.0","22","0","21",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-20",,,"0.00","0.0","19.0","28","0","28",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-21",,,"0.00","0.0","19.0","40","17","31",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-23",,,"0.10","1.0","18.0","12","-14","4",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-24",,,"0.32","3.2","21.0","20","-14","13",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-25",,,"0.04","1.0","23.0","21","2","6",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-26",,,"0.04","0.5","22.0","23","2","11",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-27",,,"0.08","0.5","21.0","23","2","19",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-28",,,"0.13","3.0","23.0","34","12","12",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-30",,,"0.00","0.0","19.0","25","-18","-10",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-01-31",,,"0.00","0.0","18.0","31","-11","1",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-01",,,"0.00","0.0","18.0","38","1","9",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-02",,,"0.00","0.0","17.0","40","1","22",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-03",,,"0.00","0.0","17.0","41","22","36",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-04",,,"0.00","0.0","17.0","41","22","28",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-05",,,"0.22","2.3","19.0","37","24","28",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-06",,,"0.53","5.3","24.0","37","20","20",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-07",,,"0.09","2.1","24.0","22","-9","0",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-08",,,"0.65","4.0","26.0","6","-16","-1",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-09",,,"0.00","0.0","24.0","29","-16","18",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-10",,,"0.00","0.0","22.0","34","-2","17",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-11",,,"0.00","0.0","21.0","33","8","10",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-12",,,"0.03","0.5","20.0","19","-1","6",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-13",,,"0.00","0.0","19.0","30","6","28",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-14",,,"0.00","0.0","19.0","40","21","24",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-15",,,"0.29","2.5","21.0","33","24","25",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-16",,,"0.14","1.2","22.0","37","13","14",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-17",,,"0.12","2.0","23.0","15","-8","5",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-18",,,"0.00","0.0","23.0","20","-12","4",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-19",,,"0.03","0.2","22.0","21","-1","13",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-20",,,"0.15","1.6","22.0","14","-17","-1",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-21",,,"0.00","0.0","21.0","16","-17","-1",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-22",,,"0.00","0.0","21.0","26","-1","12",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-23",,,"0.07","1.8","23.0","25","-9","-5",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-24",,,"0.01","0.4","21.0","17","-5","16",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-25",,,"0.00","0.0","21.0","29","1","20",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-26",,,"0.00","0.0","21.0","38","11","29",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-27",,,"0.00","0.0","19.0","44","17","32",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-02-28",,,"0.00","0.0","18.0","39","22","32",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-01",,,"0.15","1.0","19.0","39","23","24",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-02",,,"0.59","7.7","26.0","32","20","21",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-03",,,"0.48","5.4","31.0","21","12","16",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-04",,,"0.10","0.8","31.0","21","-12","15",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-05",,,"0.00","0.0","29.0","23","-15","8",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-06",,,"0.14","1.6","28.0","39","8","31",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-07",,,"0.50","2.3","30.0","35","27","30",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-08",,,"0.17","1.4","30.0","35","12","29",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-09",,,"0.69","9.0","34.0","33","11","15",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-10",,,"0.16","1.0","34.0","25","7","16",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-11",,,"0.03","0.5","33.0","34","8","12",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-12",,,"0.02","0.2","30.0","41","12","18",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-13",,,"0.15","1.6","31.0","47","18","26",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-14",,,"1.29","17.0","40.0","26","8","12",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-15",,,"0.00","0.0","38.0","19","-15","-1",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-16",,,"0.00","0.0","36.0","27","-2","4",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-17",,,"0.00","0.0","34.0","37","2","13",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-18",,,"0.00","0.0","32.0","39","7","17",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-19",,,"0.00","0.0","31.0","39","0","11",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-20",,,"0.00","0.0","30.0","29","-2","8",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-21",,,"0.00","0.0","29.0","38","4","20",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-22",,,"0.00","0.0","29.0","46","19","26",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-23",,,"0.23","1.8","31.0","35","21","23",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-24",,,"0.00","0.0","31.0","36","8","16",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-25",,,"0.13","1.4","32.0","37","16","26",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-26",,,"0.00","0.0","31.0","37","12","16",,,,
"USC00053446","GOULD 4 SE S F S P, CO US","40.5092","-106.0056","2743.2","2019-03-27",,,"0.00","0.0","28.0","52","16","24",,,,
